가게 이름,음식 종류,주소,가격,네이버 지도 별점,방문자 리뷰?,블로그 리뷰,주관적 별점?
야호꼬마김밥,분식,경기 하남시 미사강변동로 121 ,9000,4.8,473,22,3
홍미닭발,아시아음식,서울 송파구 백제고분로7길 24-13,23000,4.43,248,207,4
빨간쭈꾸미,아시아음식,서울 강동구 암사길 22-1,13000,4.57,744,152,5
푸지미곱창,아시아음식,서울 광진구 아차산로51길 12,12000,4.46,1264,773,4
츠쿠모,일식,서울 송파구 올림픽로32길 58,11000,4.48,823,444,4
김복순큰남비집,한식,서울 강남구 압구정로2길 15,10000,4.46,1183,531,3.5
할머니의 레시피,한식,서울 성동구 서울숲2길 44-12서울 성동구 서울숲2길 44-12,8000,4.37,1620,1821,5
대낚식당,한식,서울 성동구 성수이로7가길 15 ,10000,4.41,1121,1567,4.5
고황24시뼈다귀해장국감자탕,한식,서울 동대문구 경희대로1길 8-16,35000,4.31,750,441,4
태백산맥,한식,서울 중구 다산로 85 참진빌딩,9000,4.21,457,66,3
누메로도스,양식,서울 성동구 상원1길 35-9,20000,4.36,1656,1702,4
김밥천국 약수역점,분식,서울 중구 다산로 129-1,2000,4.12,783,11,2
홍콩반점0410 경희대점,중식,서울 동대문구 경희대로 12-1,6500,4.35,830,93,3
삼성루,중식,서울 동대문구 경희대로1가길 27,11000,4.16,320,69,3
또순이순대국 경희대점,한식,서울 동대문구 경희대로1가길 42,10000,3.84,252,29,2
도읍지,한식,서울 동대문구 회기로21길 38-1,9000,4.42,845,275,4.5
육쌈냉면 경희대점,아시아음식,서울 동대문구 경희대로4길 6,8500,4.24,795,75,3
산골닭갈비,한식,서울 광진구 구의강변로7길 5,14000,4.32,718,296,3.5
신야채곱창,한식,서울 광진구 뚝섬로58길 9,11000,4.59,557,18,5
마초쉐프 건대점,기타,서울 광진구 능동로 125 2층 마초쉐프,20900,4.7,3689,6406,4
모두랑,한식,서울 광진구 자양로28길 24,3500,4.41,2006,680,3
신전떡볶이 구의점,분식,서울 광진구 광나루로36길 42,3500,4.39,649,38,3.5
고공 자양점,한식,서울 광진구 뚝섬로 620-1,16000,4.59,599,262,3.5
호니도니 자양점,일식,서울 광진구 뚝섬로 590,13000,4.42,443,102,4.5
스시텐,일식,서울 광진구 구의강변로 86 ,13500,4.4,2265,1081,5
향원,중식,서울 광진구 뚝섬로58길 11,7000,4.25,498,0,3
메이빌,양식,서울 광진구 아차산로29길 7,12000,4.47,919,544,3
감성타코,기타,서울 광진구 능동로13길 39 ,15000,4.32,1626,10551,3.5
모모스테이크,양식,서울 광진구 능동로13길 10,12500,4.39,262,766,3.5
로니로티 건대점,양식,서울 광진구 아차산로 225,15900,4.47,3074,16762,3.5
춘리마라탕 구의점 ,중식,서울 광진구 아차산로 355,9900,4.35,2262,78,4
마루샤브 구의점,뷔페,서울 광진구 아차산로 355,23800,4.33,757,179,4.5
행복이가득한집,분식,서울 광진구 광나루로36길 67,7000,4.2,146,15,4.5
보배반점 구의점,중식,서울 광진구 광나루로36길 14,11000,4.38,1346,354,4
가현스시,일식,서울 광진구 광나루로36길 21,10000,4.53,172,39,4.5
송림식당,한식,서울 광진구 자양번영로 79,10000,4.32,3533,1564,3
눈물떡볶이앤눈꽃빙수,분식,서울 광진구 자양번영로11길 4,14900,4.55,19,10,3
초밥쟁이,일식,경기 수원시 영통구 반달로 98,13500,4.48,914,325,4
만고쿠 영통점,일식,경기 수원시 영통구 반달로7번길 30,11500,4.57,901,175,5
꽃찬찜닭 영통점,한식,경기 수원시 영통구 매영로 414,24000,4.32,152,45,3.5
